id,title,authors,year,venue,database,search_string,doi,url
AX001,"Enhancing LLM-Based Test Generation by Eliminating Covered Code","WeiZhe Xu - Mengyu Liu - Fanxin Kong",2026,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2602.21997,https://arxiv.org/abs/2602.21997
AX002,"MultiFileTest: A Multi-File-Level LLM Unit Test Generation Benchmark and Impact of Error Fixing Mechanisms","Yibo Wang, Congying Xia, Wenting Zhao, Jiangshu Du, Chunyu Miao, Zhongfen Deng, Philip S. Yu, Chen Xing",2025,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2502.06556,https://arxiv.org/abs/2502.06556
AX003,"Benchmarking LLMs for Unit Test Generation from Real-World Functions","Dong Huang, Jie M. Zhang, Mark Harman, Qianru Zhang, Mingzhe Du, See-Kiong Ng",2025,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2508.00408,https://arxiv.org/abs/2508.00408
AX004,"Large Language Models for Unit Test Generation: Achievements, Challenges, and the Road Ahead","Bei Chu, Yang Feng, Kui Liu, Zhaoqiang Guo, Yichi Zhang, Hange Shi, Zifan Nan, Baowen Xu",2025,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2511.21382,https://papers.cool/arxiv/2511.21382
AX005,"An Empirical Study of Unit Test Generation with Large Language Models","Lin Yang, Chen Yang, Shutao Gao, etc.",2024,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2406.18181,https://arxiv.org/abs/2406.18181
AX006,"Call-Chain-Aware LLM-Based Test Generation for Java Projects","Guancheng Wang, Qinghua Xu, Lionel C. Briand, Zhaoqiang Guo, Kui Liu",2026,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2604.22046,https://arxiv.org/abs/2604.22046
AX007,"HITS: High-coverage LLM-based Unit Test Generation via Method Slicing","Zejun Wang, Kaibo Liu, Ge Li, Zhi Jin",2024,"ASE 2024",arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2408.11324,https://arxiv.org/abs/2408.11324
CORE001,"Knowledge Matters: Injecting Project and Testing Knowledge into LLM-based Unit Test Generation","Anji Li, Mingwei Liu, Zhenxi Chen, Zheng Pei, Zike Li, Dekun Dai, Yanlin Wang, Zibin Zheng",2025,"ICSE 2026",CORE,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.1145/3744916.3787769,https://arxiv.org/abs/2511.14224
AX008,"TestExplora: Benchmarking LLMs for Proactive Bug Discovery via Repository-Level Test Generation","Steven Liu, Jane Luo, Xin Zhang, Aofan Liu, Hao Liu, Jie Wu, Ziyang Huang, Yangyu Huang, Yu Kang, Scarlett Li",2026,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2602.10471,https://arxiv.org/abs/2602.10471
AX009,"Evaluating LLM-Based Test Generation Under Software Evolution","Sabaat Haroon, Mohammad Taha Khan, Muhammad Ali Gulzar",2026,arXiv,arXiv,"('large language model' OR 'GPT') AND ('software testing' OR 'unit testing') AND ('mutation testing' OR 'coverage')",10.48550/arXiv.2603.23443,https://arxiv.org/abs/2603.23443
SS001,Mutation-Guided Unit Test Generation with a Large Language Model,"Guancheng Wang, Qinghua Xu, Lionel C. Briand, Kui Liu",2026,IEEE Transactions on Software Engineering,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1109/TSE.2026.3682975,https://ieeexplore.ieee.org/document/10.1109/TSE.2026.3682975
SS002,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,"Max Schäfer, Sarah Nadi, Aryaz Eghbali, Frank Tip",2024,IEEE Transactions on Software Engineering,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1109/TSE.2023.3334955,https://arxiv.org/abs/2302.06527
SS003,CODAMOSA: Escaping Coverage Plateaus in Test Generation with Pre-Trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023,ICSE 2023 (IEEE/ACM International Conference on Software Engineering),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1109/ICSE48619.2023.00085,https://ieeexplore.ieee.org/document/10172800
SS004,Effective Test Generation Using Pre-Trained Large Language Models and Mutation Testing (MuTAP),"Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, Foutse Khomh, Michel C. Desmarais",2024,Information and Software Technology,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1016/j.infsof.2024.107468,https://arxiv.org/abs/2308.16557
SS005,ChatUniTest: A Framework for LLM-Based Test Generation,"Yinghao Chen, Zehao Hu, Chen Zhi, Junxiao Han, Shuiguang Deng, Jianwei Yin",2024,FSE Companion 2024 (ACM),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3663529.3663801,https://arxiv.org/abs/2305.04764
SS006,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Wendkûuni C. Ouédraogo, Kader Kabore, Haoye Tian, Yewei Song, Anil Koyuncu, Jacques Klein, David Lo, Tégawendé F. Bissyandé",2024,ASE 2024 (IEEE/ACM International Conference on Automated Software Engineering),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3691620.3695330,https://dl.acm.org/doi/10.1145/3691620.3695330
SS007,HITS: High-Coverage LLM-Based Unit Test Generation via Method Slicing,"Zejun Wang, Kaibo Liu, Ge Li, Zhi Jin",2024,ASE 2024 (IEEE/ACM International Conference on Automated Software Engineering),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3691620.3695022,https://arxiv.org/abs/2408.11324
SS008,CoverUp: Effective High Coverage Test Generation for Python,"Juan Altmayer Pizzorno, Emery D. Berger",2025,Proceedings of the ACM on Software Engineering (FSE 2025),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3729398,https://arxiv.org/abs/2403.16218
SS009,TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,"Kush Jain, Gabriel Synnaeve, Baptiste Rozière",2025,ICLR 2025,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.48550/arXiv.2410.00752,https://arxiv.org/abs/2410.00752
SS010,TestSpark: IntelliJ IDEA's Ultimate Test Generation Companion,"Arkadii Sapozhnikov, Mitchell Olsthoorn, Annibale Panichella, Vladimir Kovalenko, Pouria Derakhshanfar",2024,ICSE Companion 2024 (IEEE/ACM),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3639478.3640024,https://arxiv.org/abs/2401.06580
ACM001,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang J, Hu X, Gao C, Xia X, Li S",2026,ACM Transactions on Software Engineering and Methodology,ACM Digital Library,String A,10.1145/3802827,https://dl.acm.org/doi/10.1145/3802827
ACM002,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Dong Huang, Jie M. Zhang, Mark Harman, Qianru Zhang, Mingzhe Du, See-Kiong Ng",2026,ACM Transactions on Software Engineering and Methodology,ACM Digital Library,String A,10.1145/3805043,https://dl.acm.org/doi/10.1145/3805043
ACM003,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Zeyu Lu, Peng Zhang, Yuge Nie, Yibiao Yang, Yutian Tang, Chun Yong Chong, Yuming Zhou",2026,Proceedings of the ACM on Programming Languages (OOPSLA1),ACM Digital Library,String A,10.1145/3798251,https://dl.acm.org/doi/10.1145/3798251
